"Date","Supply on Exchanges"
"2019-11-19T00:00:00.000Z","1903737.510760307"
"2019-11-20T00:00:00.000Z","1900075.311046127"
"2019-11-21T00:00:00.000Z","1901982.4182955662"
"2019-11-22T00:00:00.000Z","1910512.525356806"
"2019-11-23T00:00:00.000Z","1909153.9574505761"
"2019-11-24T00:00:00.000Z","1911802.241138846"
"2019-11-25T00:00:00.000Z","1919730.8241997457"
"2019-11-26T00:00:00.000Z","1926952.5115388758"
"2019-11-27T00:00:00.000Z","1927754.1052392956"
"2019-11-28T00:00:00.000Z","1924839.7388237554"
"2019-11-29T00:00:00.000Z","1922010.1356469358"
"2019-11-30T00:00:00.000Z","1919337.075627986"
"2019-12-01T00:00:00.000Z","1911308.5662331365"
"2019-12-02T00:00:00.000Z","1915355.0663653463"
"2019-12-03T00:00:00.000Z","1914731.134006037"
"2019-12-04T00:00:00.000Z","1917997.519316387"
"2019-12-05T00:00:00.000Z","1908093.357504138"
"2019-12-06T00:00:00.000Z","1906536.6818087182"
"2019-12-07T00:00:00.000Z","1909147.7856136682"
"2019-12-08T00:00:00.000Z","1910737.3152045782"
"2019-12-09T00:00:00.000Z","1913795.368526518"
"2019-12-10T00:00:00.000Z","1908914.5339202282"
"2019-12-11T00:00:00.000Z","1911447.836955258"
"2019-12-12T00:00:00.000Z","1913504.068179538"
"2019-12-13T00:00:00.000Z","1911843.966905198"
"2019-12-14T00:00:00.000Z","1912910.8051015378"
"2019-12-15T00:00:00.000Z","1913715.1417358378"
"2019-12-16T00:00:00.000Z","1916650.4482556377"
"2019-12-17T00:00:00.000Z","1922155.057157638"
"2019-12-18T00:00:00.000Z","1929664.9211351378"
"2019-12-19T00:00:00.000Z","1931680.981693578"
"2019-12-20T00:00:00.000Z","1942752.969117138"
"2019-12-21T00:00:00.000Z","1944689.2923393382"
"2019-12-22T00:00:00.000Z","1947374.0075591982"
"2019-12-23T00:00:00.000Z","1954401.0986061683"
"2019-12-24T00:00:00.000Z","1947867.6926753584"
"2019-12-25T00:00:00.000Z","1948573.5896847786"
"2019-12-26T00:00:00.000Z","1953742.9838741487"
