datetime,bitcoin_price_usd
2019-12-10 00:00:00+00:00,7278.1197833
2019-12-11 00:00:00+00:00,7217.09216142
2019-12-12 00:00:00+00:00,7243.13436273
2019-12-13 00:00:00+00:00,7267.73124694
2019-12-14 00:00:00+00:00,7125.24632087
2019-12-15 00:00:00+00:00,7152.30184412
2019-12-16 00:00:00+00:00,6931.52911795
2019-12-17 00:00:00+00:00,6611.38163978
2019-12-18 00:00:00+00:00,7277.59099229
2019-12-19 00:00:00+00:00,7203.78275254
2019-12-20 00:00:00+00:00,7218.81638679
2019-12-21 00:00:00+00:00,7191.15846913
2019-12-22 00:00:00+00:00,7514.07499421
2019-12-23 00:00:00+00:00,7354.39283808
2019-12-24 00:00:00+00:00,7308.4280497
2019-12-25 00:00:00+00:00,7270.72575618
2019-12-26 00:00:00+00:00,7241.13928498
2019-12-27 00:00:00+00:00,7292.44809679
2019-12-28 00:00:00+00:00,7317.99003408
2019-12-29 00:00:00+00:00,7420.27278806
2019-12-30 00:00:00+00:00,7300.67426507
2019-12-31 00:00:00+00:00,7197.48226269
2020-01-01 00:00:00+00:00,7200.50136362
2020-01-02 00:00:00+00:00,6985.47000061
2020-01-03 00:00:00+00:00,7347.15221902
2020-01-04 00:00:00+00:00,7410.45169373
2020-01-05 00:00:00+00:00,7410.81254092
2020-01-06 00:00:00+00:00,7781.86718275
2020-01-07 00:00:00+00:00,8161.93547734
2020-01-08 00:00:00+00:00,8079.86277673
2020-01-09 00:00:00+00:00,7879.07152428
2020-01-10 00:00:00+00:00,8166.55414039
2020-01-11 00:00:00+00:00,8037.53738872
2020-01-12 00:00:00+00:00,8192.49400532
2020-01-13 00:00:00+00:00,8144.19451744
2020-01-14 00:00:00+00:00,8827.76442606
2020-01-15 00:00:00+00:00,8807.01027532
2020-01-16 00:00:00+00:00,8723.78576573
2020-01-17 00:00:00+00:00,8929.0376776
2020-01-18 00:00:00+00:00,8941.44574506
2020-01-19 00:00:00+00:00,8706.24512993
2020-01-20 00:00:00+00:00,8657.64293942
2020-01-21 00:00:00+00:00,8745.89478833
2020-01-22 00:00:00+00:00,8680.65055954
2020-01-23 00:00:00+00:00,8406.5160678
2020-01-24 00:00:00+00:00,8445.43428152
2020-01-25 00:00:00+00:00,8367.84777344
2020-01-26 00:00:00+00:00,8596.82983316
2020-01-27 00:00:00+00:00,8909.81917753
2020-01-28 00:00:00+00:00,9357.47037892
2020-01-29 00:00:00+00:00,9316.62950445
2020-01-30 00:00:00+00:00,9508.9935947
2020-01-31 00:00:00+00:00,9350.52936518
2020-02-01 00:00:00+00:00,9392.87536841
2020-02-02 00:00:00+00:00,9344.36529292
2020-02-03 00:00:00+00:00,9293.52108908
2020-02-04 00:00:00+00:00,9180.9629665
2020-02-05 00:00:00+00:00,9617.8210448
2020-02-06 00:00:00+00:00,9729.80223149
2020-02-07 00:00:00+00:00,9795.94377253
2020-02-08 00:00:00+00:00,9865.11946905
2020-02-09 00:00:00+00:00,10116.673759
2020-02-10 00:00:00+00:00,9855.89170857
2020-02-11 00:00:00+00:00,10208.2362609
2020-02-12 00:00:00+00:00,10326.0545246
2020-02-13 00:00:00+00:00,10211.5503892
2020-02-14 00:00:00+00:00,10312.1160909
2020-02-15 00:00:00+00:00,9889.42462838
2020-02-16 00:00:00+00:00,9934.43339025
2020-02-17 00:00:00+00:00,9690.14261814
2020-02-18 00:00:00+00:00,10141.9963705
2020-02-19 00:00:00+00:00,9633.38688518
2020-02-20 00:00:00+00:00,9608.47590343
2020-02-21 00:00:00+00:00,9686.44119763
2020-02-22 00:00:00+00:00,9663.18182933
2020-02-23 00:00:00+00:00,9924.51522822
2020-02-24 00:00:00+00:00,9650.17480677
2020-02-25 00:00:00+00:00,9341.70516876
2020-02-26 00:00:00+00:00,8820.52220005
2020-02-27 00:00:00+00:00,8784.49384867
2020-02-28 00:00:00+00:00,8672.45534996
2020-02-29 00:00:00+00:00,8599.50861972
2020-03-01 00:00:00+00:00,8562.45405008
2020-03-02 00:00:00+00:00,8869.67031078
2020-03-03 00:00:00+00:00,8787.78645576
2020-03-04 00:00:00+00:00,8755.24589461
2020-03-05 00:00:00+00:00,9078.76279174
2020-03-06 00:00:00+00:00,9122.54557333
2020-03-07 00:00:00+00:00,8909.9536515
2020-03-08 00:00:00+00:00,8108.11629101
2020-03-09 00:00:00+00:00,7923.6447033
2020-03-10 00:00:00+00:00,7909.72939346
2020-03-11 00:00:00+00:00,7911.43012933
2020-03-12 00:00:00+00:00,5017.83083939
2020-03-13 00:00:00+00:00,5563.70689169
2020-03-14 00:00:00+00:00,5200.36626392
2020-03-15 00:00:00+00:00,5392.31488002
2020-03-16 00:00:00+00:00,5014.47997748
2020-03-17 00:00:00+00:00,5225.62919259
2020-03-18 00:00:00+00:00,5238.43857664
2020-03-19 00:00:00+00:00,6191.19295222
2020-03-20 00:00:00+00:00,6198.77820508
2020-03-21 00:00:00+00:00,6185.06651501
2020-03-22 00:00:00+00:00,5830.25479765
2020-03-23 00:00:00+00:00,6416.31475839
2020-03-24 00:00:00+00:00,6734.80378045
2020-03-25 00:00:00+00:00,6681.06312656
2020-03-26 00:00:00+00:00,6716.44054866
2020-03-27 00:00:00+00:00,6469.79813509
2020-03-28 00:00:00+00:00,6242.1938684
2020-03-29 00:00:00+00:00,5922.0431227
2020-03-30 00:00:00+00:00,6429.84193389
2020-03-31 00:00:00+00:00,6438.64476637
2020-04-01 00:00:00+00:00,6606.77626829
2020-04-02 00:00:00+00:00,6793.62459642
2020-04-03 00:00:00+00:00,6733.3873906
2020-04-04 00:00:00+00:00,6867.52731596
2020-04-05 00:00:00+00:00,6791.12944093
2020-04-06 00:00:00+00:00,7271.7811527
2020-04-07 00:00:00+00:00,7176.41450049
2020-04-08 00:00:00+00:00,7334.09845346
2020-04-09 00:00:00+00:00,7303.81519824
2020-04-10 00:00:00+00:00,6865.49337195
2020-04-11 00:00:00+00:00,6859.08296343
2020-04-12 00:00:00+00:00,6971.09159108
2020-04-13 00:00:00+00:00,6845.03769683
2020-04-14 00:00:00+00:00,6845.56171696
2020-04-15 00:00:00+00:00,6642.10989286
2020-04-16 00:00:00+00:00,7116.55260865
2020-04-17 00:00:00+00:00,7096.18465879
2020-04-18 00:00:00+00:00,7257.66485847
2020-04-19 00:00:00+00:00,7189.42482356
2020-04-20 00:00:00+00:00,6881.95869275
2020-04-21 00:00:00+00:00,6880.32347375
2020-04-22 00:00:00+00:00,7117.20747869
2020-04-23 00:00:00+00:00,7429.72464927
2020-04-24 00:00:00+00:00,7550.48301195
2020-04-25 00:00:00+00:00,7569.93603405
2020-04-26 00:00:00+00:00,7679.86720422
2020-04-27 00:00:00+00:00,7795.60083451
2020-04-28 00:00:00+00:00,7807.05845106
2020-04-29 00:00:00+00:00,8801.03776688
2020-04-30 00:00:00+00:00,8658.55417975
2020-05-01 00:00:00+00:00,8864.76680793
2020-05-02 00:00:00+00:00,8988.5962069
2020-05-03 00:00:00+00:00,8897.46850985
2020-05-04 00:00:00+00:00,8912.65460539
2020-05-05 00:00:00+00:00,9003.07017834
2020-05-06 00:00:00+00:00,9268.76208066
2020-05-07 00:00:00+00:00,9951.5187451
2020-05-08 00:00:00+00:00,9842.66636785
2020-05-09 00:00:00+00:00,9591.16923131
2020-05-10 00:00:00+00:00,8756.43114193
2020-05-11 00:00:00+00:00,8601.79620238
2020-05-12 00:00:00+00:00,8804.47781074
2020-05-13 00:00:00+00:00,9269.98770576
2020-05-14 00:00:00+00:00,9733.72147137
2020-05-15 00:00:00+00:00,9328.19722645
2020-05-16 00:00:00+00:00,9377.0140257
2020-05-17 00:00:00+00:00,9670.73937122
2020-05-18 00:00:00+00:00,9726.5748149
2020-05-19 00:00:00+00:00,9725.32936525
2020-05-20 00:00:00+00:00,9522.98115678
2020-05-21 00:00:00+00:00,9081.76202252
2020-05-22 00:00:00+00:00,9182.57751787
2020-05-23 00:00:00+00:00,9209.28742769
2020-05-24 00:00:00+00:00,8790.36800074
2020-05-25 00:00:00+00:00,8906.93476142
2020-05-26 00:00:00+00:00,8835.05306073
2020-05-27 00:00:00+00:00,9181.01794762
2020-05-28 00:00:00+00:00,9525.7510947
2020-05-29 00:00:00+00:00,9439.12439045
2020-05-30 00:00:00+00:00,9700.41407169
2020-05-31 00:00:00+00:00,9463.6056622
2020-06-01 00:00:00+00:00,10167.2681012
2020-06-02 00:00:00+00:00,9529.80414872
2020-06-03 00:00:00+00:00,9656.71776526
2020-06-04 00:00:00+00:00,9800.63659532
2020-06-05 00:00:00+00:00,9665.53278908
2020-06-06 00:00:00+00:00,9653.67926335
2020-06-07 00:00:00+00:00,9758.8524174
2020-06-08 00:00:00+00:00,9771.48948366
2020-06-09 00:00:00+00:00,9795.70019463
2020-06-10 00:00:00+00:00,9870.09445278
2020-06-11 00:00:00+00:00,9320.69085457
2020-06-12 00:00:00+00:00,9480.84378943
2020-06-13 00:00:00+00:00,9475.27733834
2020-06-14 00:00:00+00:00,9386.78789214
2020-06-15 00:00:00+00:00,9450.70198692
2020-06-16 00:00:00+00:00,9538.0243743
2020-06-17 00:00:00+00:00,9480.25536624
2020-06-18 00:00:00+00:00,9411.84046197
2020-06-19 00:00:00+00:00,9288.01871603
2020-06-20 00:00:00+00:00,9332.340762
2020-06-21 00:00:00+00:00,9303.62971409
2020-06-22 00:00:00+00:00,9648.71760979
2020-06-23 00:00:00+00:00,9629.65836578
2020-06-24 00:00:00+00:00,9313.61034868
2020-06-25 00:00:00+00:00,9260.99499378
2020-06-26 00:00:00+00:00,9162.91760386
2020-06-27 00:00:00+00:00,9045.39095672
2020-06-28 00:00:00+00:00,9143.58219104
2020-06-29 00:00:00+00:00,9190.85446467
2020-06-30 00:00:00+00:00,9137.99340026
2020-07-01 00:00:00+00:00,9231.13965322
2020-07-02 00:00:00+00:00,9124.84264611
2020-07-03 00:00:00+00:00,9084.23373428
2020-07-04 00:00:00+00:00,9132.48795051
2020-07-05 00:00:00+00:00,9073.94286936
2020-07-06 00:00:00+00:00,9375.47475925
2020-07-07 00:00:00+00:00,9252.27750386
2020-07-08 00:00:00+00:00,9428.3330848
2020-07-09 00:00:00+00:00,9277.96790642
2020-07-10 00:00:00+00:00,9278.8078672
2020-07-11 00:00:00+00:00,9240.34632654
2020-07-12 00:00:00+00:00,9276.49985018
2020-07-13 00:00:00+00:00,9243.61385509
2020-07-14 00:00:00+00:00,9243.21341642
2020-07-15 00:00:00+00:00,9192.83736784
2020-07-16 00:00:00+00:00,9132.22786293
2020-07-17 00:00:00+00:00,9151.39223963
2020-07-18 00:00:00+00:00,9159.03990531
2020-07-19 00:00:00+00:00,9185.81691242
2020-07-20 00:00:00+00:00,9164.2313647
2020-07-21 00:00:00+00:00,9374.88752808
2020-07-22 00:00:00+00:00,9525.36344997
