datetime,litecoin_price_usd
2019-10-11 00:00:00+00:00,56.296968974
2019-10-12 00:00:00+00:00,55.9828696793
2019-10-13 00:00:00+00:00,56.7139949094
2019-10-14 00:00:00+00:00,56.9754006967
2019-10-15 00:00:00+00:00,54.9442081295
2019-10-16 00:00:00+00:00,52.9231066814
2019-10-17 00:00:00+00:00,54.8844752045
2019-10-18 00:00:00+00:00,53.4916924251
2019-10-19 00:00:00+00:00,54.0345715635
2019-10-20 00:00:00+00:00,54.9343797095
2019-10-21 00:00:00+00:00,54.9382982595
2019-10-22 00:00:00+00:00,53.7443620925
2019-10-23 00:00:00+00:00,49.6279561923
2019-10-24 00:00:00+00:00,50.0676659166
2019-10-25 00:00:00+00:00,56.9459763381
2019-10-26 00:00:00+00:00,56.775251712
2019-10-27 00:00:00+00:00,59.9139888283
2019-10-28 00:00:00+00:00,58.1268402987
2019-10-29 00:00:00+00:00,59.8696243646
2019-10-30 00:00:00+00:00,58.4209716297
2019-10-31 00:00:00+00:00,58.7806836326
2019-11-01 00:00:00+00:00,58.5790850619
2019-11-02 00:00:00+00:00,58.5921025152
2019-11-03 00:00:00+00:00,58.6251891562
2019-11-04 00:00:00+00:00,61.5730574891
2019-11-05 00:00:00+00:00,63.3027644295
2019-11-06 00:00:00+00:00,64.2687453232
2019-11-07 00:00:00+00:00,61.8432220073
2019-11-08 00:00:00+00:00,60.5299177709
2019-11-09 00:00:00+00:00,61.8971432952
2019-11-10 00:00:00+00:00,63.8414664618
2019-11-11 00:00:00+00:00,61.899106855
2019-11-12 00:00:00+00:00,61.3402972966
2019-11-13 00:00:00+00:00,61.0771521379
2019-11-14 00:00:00+00:00,59.4298942835
2019-11-15 00:00:00+00:00,57.8117103973
2019-11-16 00:00:00+00:00,58.6047494585
2019-11-17 00:00:00+00:00,59.5732277141
2019-11-18 00:00:00+00:00,56.80095038
2019-11-19 00:00:00+00:00,55.633770987
2019-11-20 00:00:00+00:00,55.2909230079
2019-11-21 00:00:00+00:00,50.8830533118
2019-11-22 00:00:00+00:00,47.6155372253
2019-11-23 00:00:00+00:00,48.7064912945
2019-11-24 00:00:00+00:00,44.7342264543
2019-11-25 00:00:00+00:00,45.8303359717
2019-11-26 00:00:00+00:00,47.2733413597
2019-11-27 00:00:00+00:00,48.0088062763
2019-11-28 00:00:00+00:00,47.0569488598
2019-11-29 00:00:00+00:00,48.8791579725
2019-11-30 00:00:00+00:00,47.4754306825
2019-12-01 00:00:00+00:00,47.7111707214
2019-12-02 00:00:00+00:00,45.8170166941
2019-12-03 00:00:00+00:00,45.3816049176
2019-12-04 00:00:00+00:00,45.1929506727
2019-12-05 00:00:00+00:00,45.3016395062
2019-12-06 00:00:00+00:00,45.6701186502
2019-12-07 00:00:00+00:00,45.6404906377
2019-12-08 00:00:00+00:00,45.8999137664
2019-12-09 00:00:00+00:00,44.9392434215
2019-12-10 00:00:00+00:00,44.6442411233
2019-12-11 00:00:00+00:00,43.9367080663
2019-12-12 00:00:00+00:00,44.0821699521
2019-12-13 00:00:00+00:00,44.4493774649
2019-12-14 00:00:00+00:00,43.7515318268
2019-12-15 00:00:00+00:00,43.7568277758
2019-12-16 00:00:00+00:00,40.4094823115
2019-12-17 00:00:00+00:00,36.9269333207
2019-12-18 00:00:00+00:00,40.7934546736
2019-12-19 00:00:00+00:00,39.920295762
2019-12-20 00:00:00+00:00,40.3048177276
2019-12-21 00:00:00+00:00,40.0100981536
2019-12-22 00:00:00+00:00,42.0374053167
2019-12-23 00:00:00+00:00,40.862876384
2019-12-24 00:00:00+00:00,40.6343916049
2019-12-25 00:00:00+00:00,40.6034383271
2019-12-26 00:00:00+00:00,40.284054881
2019-12-27 00:00:00+00:00,41.225862147
2019-12-28 00:00:00+00:00,42.8425223762
2019-12-29 00:00:00+00:00,43.7539342918
2019-12-30 00:00:00+00:00,42.790712069
2019-12-31 00:00:00+00:00,41.4232767087
2020-01-01 00:00:00+00:00,41.9887127932
2020-01-02 00:00:00+00:00,39.8230153245
2020-01-03 00:00:00+00:00,42.4052277733
2020-01-04 00:00:00+00:00,43.2913815968
2020-01-05 00:00:00+00:00,43.5675133618
2020-01-06 00:00:00+00:00,45.8236766628
2020-01-07 00:00:00+00:00,46.4483523139
2020-01-08 00:00:00+00:00,45.65376714
2020-01-09 00:00:00+00:00,45.21593084
2020-01-10 00:00:00+00:00,48.72732772
2020-01-11 00:00:00+00:00,49.2637687
2020-01-12 00:00:00+00:00,51.1223120276
2020-01-13 00:00:00+00:00,49.73376765
2020-01-14 00:00:00+00:00,58.3902666154
2020-01-15 00:00:00+00:00,58.05284983
2020-01-16 00:00:00+00:00,57.61825573
2020-01-17 00:00:00+00:00,61.48712591
2020-01-18 00:00:00+00:00,59.445708711500004
2020-01-19 00:00:00+00:00,57.80069364
2020-01-20 00:00:00+00:00,57.20326109
2020-01-21 00:00:00+00:00,57.6395931716
2020-01-22 00:00:00+00:00,58.35472454
2020-01-23 00:00:00+00:00,54.63026014
2020-01-24 00:00:00+00:00,54.53178894
2020-01-25 00:00:00+00:00,53.69778845
2020-01-26 00:00:00+00:00,56.21271438
2020-01-27 00:00:00+00:00,58.76326686
2020-01-28 00:00:00+00:00,60.6637667782
2020-01-29 00:00:00+00:00,60.0139158026
2020-01-30 00:00:00+00:00,68.15906252
2020-01-31 00:00:00+00:00,67.87949262
2020-02-01 00:00:00+00:00,70.82001757
2020-02-02 00:00:00+00:00,70.23154173
2020-02-03 00:00:00+00:00,69.7694823283
2020-02-04 00:00:00+00:00,68.1146080768
2020-02-05 00:00:00+00:00,72.5323810795
2020-02-06 00:00:00+00:00,73.38868617
2020-02-07 00:00:00+00:00,74.35611575
2020-02-08 00:00:00+00:00,76.46756358
2020-02-09 00:00:00+00:00,77.09257993
2020-02-10 00:00:00+00:00,74.3460785602
2020-02-11 00:00:00+00:00,76.59739711
2020-02-12 00:00:00+00:00,81.2297238039
2020-02-13 00:00:00+00:00,80.3755116016
2020-02-14 00:00:00+00:00,82.99034907
2020-02-15 00:00:00+00:00,76.5132459
