datetime,litecoin_daily_trading_volume_usd
2019-09-06 00:00:00+00:00,2596768727.0
2019-09-07 00:00:00+00:00,2763572249.0
2019-09-08 00:00:00+00:00,2776939870.0
2019-09-09 00:00:00+00:00,2654086134.0
2019-09-10 00:00:00+00:00,2893715133.0
2019-09-11 00:00:00+00:00,2569282757.0
2019-09-12 00:00:00+00:00,2316445209.0
2019-09-13 00:00:00+00:00,2368931048.0
2019-09-14 00:00:00+00:00,2439744084.0
2019-09-15 00:00:00+00:00,2330572400.0
2019-09-16 00:00:00+00:00,2652253521.0
2019-09-17 00:00:00+00:00,3104946340.0
2019-09-18 00:00:00+00:00,3665577128.0
2019-09-19 00:00:00+00:00,3778427056.0
2019-09-20 00:00:00+00:00,3148504140.0
2019-09-21 00:00:00+00:00,2572614027.0
2019-09-22 00:00:00+00:00,2495283753.0
2019-09-23 00:00:00+00:00,3215899051.0
2019-09-24 00:00:00+00:00,3919809840.0
2019-09-25 00:00:00+00:00,3360298410.0
2019-09-26 00:00:00+00:00,2663433163.0
2019-09-27 00:00:00+00:00,2324084588.0
2019-09-28 00:00:00+00:00,1975938675.0
2019-09-29 00:00:00+00:00,1825383530.0
2019-09-30 00:00:00+00:00,2241248500.0
2019-10-01 00:00:00+00:00,2325767309.0
2019-10-02 00:00:00+00:00,2113331223.0
2019-10-03 00:00:00+00:00,2220331075.0
2019-10-04 00:00:00+00:00,2292624174.0
2019-10-05 00:00:00+00:00,2063875680.0
2019-10-06 00:00:00+00:00,2381501439.0
2019-10-07 00:00:00+00:00,2891486028.0
2019-10-08 00:00:00+00:00,2417116505.0
2019-10-09 00:00:00+00:00,2790624238.0
2019-10-10 00:00:00+00:00,2440262584.0
2019-10-11 00:00:00+00:00,2441054545.0
2019-10-12 00:00:00+00:00,2098404879.0
2019-10-13 00:00:00+00:00,2235957909.0
2019-10-14 00:00:00+00:00,2243495396.0
2019-10-15 00:00:00+00:00,2602960066.0
2019-10-16 00:00:00+00:00,2978803243.0
2019-10-17 00:00:00+00:00,2925315824.0
2019-10-18 00:00:00+00:00,2683486531.0
2019-10-19 00:00:00+00:00,2453091267.0
2019-10-20 00:00:00+00:00,2612273452.0
2019-10-21 00:00:00+00:00,2727253951.0
2019-10-22 00:00:00+00:00,2490194231.0
2019-10-23 00:00:00+00:00,3077488277.0
2019-10-24 00:00:00+00:00,2650862714.0
2019-10-25 00:00:00+00:00,3772288612.0
2019-10-26 00:00:00+00:00,5234627156.0
2019-10-27 00:00:00+00:00,4218140032.0
2019-10-28 00:00:00+00:00,3793848575.0
2019-10-29 00:00:00+00:00,3582210705.0
2019-10-30 00:00:00+00:00,3387114094.0
2019-10-31 00:00:00+00:00,3165801277.0
2019-11-01 00:00:00+00:00,3425862599.0
2019-11-02 00:00:00+00:00,3354741993.0
2019-11-03 00:00:00+00:00,3259935586.0
2019-11-04 00:00:00+00:00,4164854558.0
2019-11-05 00:00:00+00:00,4725921529.0
2019-11-06 00:00:00+00:00,3755244862.0
2019-11-07 00:00:00+00:00,3557191962.0
2019-11-08 00:00:00+00:00,3414910991.0
2019-11-09 00:00:00+00:00,2847791347.0
2019-11-10 00:00:00+00:00,3611586094.0
2019-11-11 00:00:00+00:00,3033016471.0
2019-11-12 00:00:00+00:00,3333604208.0
2019-11-13 00:00:00+00:00,3094058388.0
2019-11-14 00:00:00+00:00,3040274518.0
2019-11-15 00:00:00+00:00,3195878561.0
2019-11-16 00:00:00+00:00,2844156496.0
2019-11-17 00:00:00+00:00,3215100477.0
2019-11-18 00:00:00+00:00,3131873188.0
2019-11-19 00:00:00+00:00,3031216634.0
2019-11-20 00:00:00+00:00,2858714058.0
2019-11-21 00:00:00+00:00,3158748317.0
2019-11-22 00:00:00+00:00,3734545939.0
2019-11-23 00:00:00+00:00,2746902869.0
2019-11-24 00:00:00+00:00,2709705879.0
2019-11-25 00:00:00+00:00,3408224795.0
2019-11-26 00:00:00+00:00,2659405400.0
2019-11-27 00:00:00+00:00,2979663352.0
2019-11-28 00:00:00+00:00,2662459126.0
2019-11-29 00:00:00+00:00,2944492392.0
2019-11-30 00:00:00+00:00,2678481167.0
2019-12-01 00:00:00+00:00,2781413686.0
2019-12-02 00:00:00+00:00,2680452034.0
2019-12-03 00:00:00+00:00,2557212173.0
2019-12-04 00:00:00+00:00,2951880019.0
2019-12-05 00:00:00+00:00,2818768679.0
2019-12-06 00:00:00+00:00,2585078804.0
2019-12-07 00:00:00+00:00,2380335462.0
2019-12-08 00:00:00+00:00,2264074779.0
2019-12-09 00:00:00+00:00,2473452707.0
2019-12-10 00:00:00+00:00,2349745527.0
2019-12-11 00:00:00+00:00,2501938241.0
2019-12-12 00:00:00+00:00,2740797932.0
2019-12-13 00:00:00+00:00,2770868164.0
2019-12-14 00:00:00+00:00,2719197974.0
2019-12-15 00:00:00+00:00,2668105124.0
2019-12-16 00:00:00+00:00,3045924497.0
2019-12-17 00:00:00+00:00,3273581515.0
2019-12-18 00:00:00+00:00,3847975739.0
2019-12-19 00:00:00+00:00,3173676635.0
